train_loss,valid_loss
0.699579,0.693771
0.695533,0.695183
0.698749,0.697506
0.697413,0.698614
0.700274,0.696630
0.686000,0.694201
0.693278,0.692652
0.687364,0.693684
0.691742,0.695406
0.693473,0.697979
0.693199,0.693873
0.680504,0.696762
0.693083,0.702775
0.692154,0.703002
0.714773,0.700964
0.688403,0.693457
0.688463,0.693045
0.692609,0.693403
0.684691,0.695788
0.688663,0.694296
0.683612,0.693473
0.701721,0.693679
0.695272,0.694664
0.694787,0.693400
0.692166,0.693667
0.698055,0.691651
0.687061,0.692067
0.697140,0.693155
0.685680,0.692360
0.674479,0.697938
0.668952,0.689677
0.697922,0.691290
0.679819,0.689579
0.687309,0.692573
0.675720,0.693000
0.685315,0.681257
0.671137,0.716209
0.690504,0.678118
0.670934,0.667984
0.667379,0.672748
0.670158,0.683748
0.652744,0.648487
0.646585,0.716908
0.644109,0.740784
0.681817,0.669353
0.673159,0.672042
0.651842,0.702354
0.670367,0.675383
0.662200,0.652061
0.653187,0.644095
0.641407,0.691934
0.629622,0.640210
0.647753,0.630311
0.649543,0.649227
0.626445,0.704296
0.659368,0.629989
0.622458,0.661218
0.606033,0.648197
0.630992,0.621752
0.640446,0.627825
0.627719,0.617013
0.637864,0.640860
0.630888,0.684020
0.640234,0.621850
0.624644,0.618146
0.623477,0.619507
0.591064,0.615072
0.616036,0.648148
0.634612,0.698510
0.631105,0.621574
0.619989,0.615530
0.641919,0.614821
0.631800,0.627669
0.611325,0.639050
0.624099,0.625390
0.627210,0.618094
0.623895,0.627277
0.621348,0.633985
0.616847,0.649856
0.611482,0.656105
0.628334,0.636144
0.648339,0.617886
0.615166,0.618179
0.622278,0.618422
0.600722,0.621062
0.591515,0.623483
0.644078,0.618099
0.602854,0.622720
0.607216,0.623768
0.612893,0.631609
0.633500,0.627764
0.630405,0.620241
0.617649,0.624506
0.625076,0.625708
0.609288,0.619536
0.607449,0.623137
0.609408,0.624643
0.607266,0.625675
0.628543,0.627412
0.622702,0.626541
