train_loss,valid_loss
0.607597,0.687912
0.455402,0.588308
0.484536,0.705901
0.421100,0.338847
0.383913,0.431210
0.409464,0.334007
0.462445,0.524137
0.433416,0.774160
0.411684,0.797780
0.435409,0.631481
0.429654,0.610072
0.435721,0.813262
0.468840,0.519400
0.481680,0.812963
0.476646,0.802015
0.550450,0.638394
0.440243,0.699766
0.412514,0.750324
0.403296,0.497466
0.468807,0.603521
0.450660,0.558669
0.396543,0.403990
0.395803,0.369334
0.350006,0.620976
0.421849,0.586660
0.420715,0.749020
0.410097,0.425732
0.381321,0.401725
0.400516,0.400005
0.439658,0.368547
0.375478,0.327640
0.372889,0.349208
0.466863,0.445608
0.380713,0.438639
0.382208,0.361062
0.352875,0.333745
0.367487,0.354088
0.355562,0.410133
0.435462,0.391698
0.366110,0.404641
0.354153,0.397732
0.347218,0.321593
0.323246,0.339451
0.365728,0.368955
0.353579,0.347978
0.354507,0.425800
0.331596,0.359390
0.351461,0.320938
0.346063,0.337797
0.338711,0.322772
0.334297,0.410216
0.367493,0.438011
0.370891,0.427909
0.376783,0.503237
0.383243,0.373605
0.380763,0.403403
0.339538,0.349146
0.377112,0.322142
0.342879,0.428053
0.319207,0.331633
0.318880,0.343285
0.329034,0.330274
